admin-console-tenant-1  | 2026-09-17T23:51:19.842849936Z ▲ Next.js 16.2.2
admin-console-tenant-1  | 2026-09-17T23:51:19.843026269Z - Local:         http://localhost:3000
admin-console-tenant-1  | 2026-09-17T23:51:19.843037555Z - Network:       http://0.0.0.0:3000
admin-console-tenant-1  | 2026-09-17T23:51:19.843419950Z ✓ Ready in 0ms
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.266864954Z [INFO] [SerializationRegistration] Software Keystore Serialization registered
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.267420957Z [INFO] [SerializationRegistration] SoftwareKms Serialization registered
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.267440586Z [DEBUG] Found 2 APP-level property source contributions
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.267445016Z [INFO] Registered property source: yaml.app (order=30)
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.267557738Z [DEBUG] Property source disabled: noop
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.267666834Z [INFO] Property source bootstrap complete: 1 APP sources registered
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.268746121Z [main] INFO io.ktor.server.Application - Autoreload is disabled because the development mode is off.
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.269937246Z [INFO] [PlatformBearerAuth] Registered IdP for bearer validation: id=platform-operator-issuer issuer=https://platform.e2e.nk.sphereon.com jwksUri=http://enterprise-platform:18080/.well-known/jwks.json
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.269951121Z [INFO] [KotlinInjectPlugin] Plugin is multiplatform compatible - services accessed via graph inspection
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.269958913Z [INFO] [KotlinInjectPlugin] Initializing KotlinInject plugin with AppGraph: Impl
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.270165445Z [main] INFO io.ktor.server.Application - KotlinInject plugin installed - full DI enabled
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.270173700Z [INFO] [KotlinInjectPlugin] KotlinInject plugin installed successfully
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.273522195Z [INFO] [HttpAdapterCatalog] HTTP adapter catalog built: 9 adapters [KMS-CAPABILITIES(4), KMS-CERTIFICATES(14), KMS-ENCRYPTION(5), KMS-KEYS(6), KMS-PROVIDERS(7), KMS-RESOLVERS(3), KMS-SIGNATURES(2), VDX-PUBLIC-SERVICE-COMMANDS(2), __noop__(0)]
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.273763938Z [main] INFO io.ktor.server.Application - Application started in 0.005 seconds.
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.274970937Z [main] INFO io.ktor.server.Application - Responding at http://0.0.0.0:8080
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.275041857Z [INFO] [DualTransportServer] Starting enterprise-kms with dual transport...
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.275053076Z [INFO] [DualTransportServer] External REST transport disabled
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.275175658Z [INFO] [GrpcTransportServer] Starting gRPC server on 0.0.0.0:9090...
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.276236719Z [INFO] [GrpcTransportServer] gRPC transport authMode=JWT tls=off mesh=false
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.276246991Z [INFO] [GrpcTransportServer] gRPC interceptor registered: GrpcTelemetryInterceptor
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.276759955Z [INFO] [GrpcTransportServer] gRPC health check service registered
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.313721197Z [INFO] [GrpcTransportServer] gRPC server started on 0.0.0.0:9090
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.313741685Z [INFO] [SsfCacheInvalidation] Starting SSF cache invalidation listener
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.313747427Z [INFO] [AuthZenServerLifecycle] SSF cache invalidation listener started
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.313750843Z [INFO] [DualTransportServer] Internal gRPC server started on 0.0.0.0:9090
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.313995745Z [INFO] [DualTransportServer] enterprise-kms started successfully
enterprise-tenant-kms-1  | 2026-09-17T23:51:14.314005763Z [INFO] [TransportServer] Server started
enterprise-tenant-kms-1  | 2026-09-17T23:51:17.065803457Z [INFO] [GrpcTransportServer] VDX_GRPC_TRANSPORT_READY remote=/172.21.0.4:54820 local=/172.21.0.8:9090
enterprise-tenant-kms-1  | 2026-09-17T23:51:17.067249634Z [INFO] [GrpcTelemetryInterceptor] VDX_GRPC_INTERCEPT_CALL method=grpc.health.v1.Health/Check authority=enterprise-tenant-kms:9090
enterprise-tenant-kms-1  | 2026-09-17T23:51:17.068603869Z [INFO] [GrpcTransportServer] VDX_GRPC_TRANSPORT_TERMINATED remote=/172.21.0.4:54820
enterprise-tenant-kms-1  | 2026-09-17T23:51:54.903136988Z [INFO] [GrpcTransportServer] VDX_GRPC_TRANSPORT_READY remote=/172.21.0.4:44414 local=/172.21.0.8:9090
